project	file	line	pattern	type	member	chars_saved	before	after
scala3-compiler	dotty/tools/dotc/transform/ForwardDepChecks.scala	41	P1	Int	MinValue	4	var maxIndex: Int = Int.MinValue	var maxIndex: Int = .MinValue
scala3-compiler	dotty/tools/dotc/transform/BeanProperties.scala	40	P1	Option	when	7	def maybeGenerateSetter(valDef: ValDef, annot: Annotation)(using Context): Option[Tree] =	def maybeGenerateSetter(valDef: ValDef, annot: Annotation)(using Context): Option[Tree] =
scala3-compiler	dotty/tools/dotc/transform/GenericSignatures.scala	279	P2	ValueClassBoxing	Unbox	17	def jsig(tp0: Type, toplevel: Boolean = false, vcBoxing: ValueClassBoxing = ValueClassBoxing.Unbox): Unit = {	def jsig(tp0: Type, toplevel: Boolean = false, vcBoxing: ValueClassBoxing = .Unbox): Unit = {
scala3-compiler	dotty/tools/dotc/transform/sjs/PrepJSExports.scala	186	P5	ExportDestination	Normal	18	case ExportDestination.Normal =>	case .Normal =>
scala3-compiler	dotty/tools/dotc/transform/sjs/PrepJSExports.scala	238	P5	ExportDestination	Static	18	case ExportDestination.Static =>	case .Static =>
scala3-compiler	dotty/tools/dotc/transform/sjs/PrepJSExports.scala	292	P5	ExportDestination	Normal	18	case ExportDestination.Normal =>	case .Normal =>
scala3-compiler	dotty/tools/dotc/transform/sjs/PrepJSExports.scala	294	P5	ExportDestination	Static	18	case ExportDestination.Static =>	case .Static =>
scala3-compiler	dotty/tools/dotc/transform/sjs/PrepJSInterop.scala	74	P1	OwnerKind	None	10	private var enclosingOwner: OwnerKind = OwnerKind.None	private var enclosingOwner: OwnerKind = .None
scala3-compiler	dotty/tools/dotc/transform/sjs/PrepJSInterop.scala	77	P1	OwnerKind	None	10	private var allEnclosingOwners: OwnerKind = OwnerKind.None	private var allEnclosingOwners: OwnerKind = .None
scala3-compiler	dotty/tools/dotc/transform/sjs/PrepJSInterop.scala	96	P1	Set	empty	4	private var dynamicImportEnclosingClasses: Set[Symbol] = Set.empty	private var dynamicImportEnclosingClasses: Set[Symbol] = .empty
scala3-compiler	dotty/tools/dotc/transform/sjs/JSSymUtils.scala	158	P1	JSCallingConvention	of	20	def jsCallingConvention(using Context): JSCallingConvention =	def jsCallingConvention(using Context): JSCallingConvention =
scala3-compiler	dotty/tools/dotc/transform/init/Objects.scala	2298	P1	mutable.Set	empty	12	val mutateErrorSet: mutable.Set[(ClassSymbol, ClassSymbol)] = mutable.Set.empty	val mutateErrorSet: mutable.Set[(ClassSymbol, ClassSymbol)] = .empty
scala3-compiler	dotty/tools/dotc/transform/init/Objects.scala	2310	P1	mutable.Set	empty	12	val readErrorSet: mutable.Set[(ClassSymbol, ClassSymbol)] = mutable.Set.empty	val readErrorSet: mutable.Set[(ClassSymbol, ClassSymbol)] = .empty
scala3-compiler	dotty/tools/dotc/parsing/Parsers.scala	259	P2	Set	empty	4	def isDefIntro(allowedMods: BitSet, excludedSoftModifiers: Set[TermName] = Set.empty): Boolean =	def isDefIntro(allowedMods: BitSet, excludedSoftModifiers: Set[TermName] = .empty): Boolean =
scala3-compiler	dotty/tools/dotc/parsing/Parsers.scala	2523	P2	Location	Elsewhere	9	def expr1(location: Location = Location.Elsewhere): Tree = in.token match	def expr1(location: Location = .Elsewhere): Tree = in.token match
scala3-compiler	dotty/tools/dotc/parsing/Parsers.scala	2818	P2	Location	Elsewhere	9	def postfixExpr(location: Location = Location.Elsewhere): Tree =	def postfixExpr(location: Location = .Elsewhere): Tree =
scala3-compiler	dotty/tools/dotc/parsing/Parsers.scala	3328	P2	Location	InPattern	9	def pattern(location: Location = Location.InPattern): Tree =	def pattern(location: Location = .InPattern): Tree =
scala3-compiler	dotty/tools/dotc/parsing/Parsers.scala	3370	P2	Location	InPattern	9	def pattern1(location: Location = Location.InPattern): Tree =	def pattern1(location: Location = .InPattern): Tree =
scala3-compiler	dotty/tools/dotc/parsing/Parsers.scala	3481	P2	Location	InPattern	9	def patterns(location: Location = Location.InPattern): List[Tree] =	def patterns(location: Location = .InPattern): List[Tree] =
scala3-compiler	dotty/tools/dotc/parsing/Parsers.scala	3485	P2	Location	InPattern	9	def patternsOpt(location: Location = Location.InPattern): List[Tree] =	def patternsOpt(location: Location = .InPattern): List[Tree] =
scala3-compiler	dotty/tools/dotc/parsing/Scanners.scala	230	P1	SortedMap	empty	10	private var docstringMap: SortedMap[Int, Comment] = SortedMap.empty	private var docstringMap: SortedMap[Int, Comment] = .empty
scala3-compiler	dotty/tools/dotc/sbt/APIUtils.scala	20	P1	api.Public	create	11	val PublicAccess: api.Public = api.Public.create()	val PublicAccess: api.Public = .create()
scala3-compiler	dotty/tools/dotc/sbt/APIUtils.scala	22	P1	api.Structure	of	14	val EmptyStructure: api.Structure = api.Structure.of(strict(Array.empty), strict(Array.empty), strict(Array.empty))	val EmptyStructure: api.Structure = .of(strict(Array.empty), strict(Array.empty), strict(Array.empty))
scala3-compiler	dotty/tools/dotc/sbt/APIUtils.scala	23	P1	api.EmptyType	of	14	val EmptyType: api.EmptyType = api.EmptyType.of()	val EmptyType: api.EmptyType = .of()
scala3-compiler	dotty/tools/dotc/sbt/ShowAPI.scala	115	P5	ParameterModifier	Plain	18	case ParameterModifier.Plain    => base	case .Plain    => base
